campaign_id,campaign_name,channel,impressions,clicks,conversions,spend,revenue,campaign_date
39,Brand Awareness,Google Ads,79085,5863,498,46800.61,92486.66,16-05-2025
40,New Launch,Facebook,56876,2209,219,23404,110707.23,23-08-2025
41,Festival Offer,Instagram,86416,3366,137,27344.09,85378.14,05-02-2025
42,Flash Sale,YouTube,37018,2253,212,8729.59,38132.86,01-12-2025
43,New Launch,Google Ads,74329,1550,216,41038.1,95932.27,16-05-2025
44,Flash Sale,YouTube,20129,2224,120,37378.42,66933.61,18-04-2025
45,Retargeting,Email,99058,7598,435,34687.36,154048.95,09-05-2025
46,Summer Sale,Instagram,11658,422,52,21755.21,48979.35,08-03-2025
47,Special Discount,YouTube,88507,6061,346,37320.31,123022.13,05-01-2025
48,Mega Sale,YouTube,19663,547,35,27733.92,121237.75,17-03-2025
49,Summer Sale,Instagram,61333,2270,89,16104.66,74341.2,18-04-2025
50,Special Discount,YouTube,94399,5975,861,6036.89,25140.28,21-03-2025
51,Special Discount,Facebook,36029,4261,293,48834.1,209055.49,02-04-2025
52,New Launch,Email,48540,4342,384,14073.48,58996.35,20-01-2025
53,Flash Sale,Google Ads,66694,3155,196,41012.74,120952.82,25-04-2025
54,New Launch,Instagram,8101,837,49,20524.83,46359.26,29-06-2025
55,Brand Awareness,Facebook,89080,10127,1121,34296.39,151106.89,01-03-2025
56,New Launch,YouTube,39237,1515,193,48164.18,106383.7,11-08-2025
57,Special Discount,YouTube,50309,3575,330,30704.23,96515.91,08-04-2025
58,Retargeting,LinkedIn,38386,948,118,22366.82,71030.25,10-12-2025
59,Brand Awareness,YouTube,30825,2107,173,4428.72,16493.01,10-06-2025
60,Special Discount,Instagram,91951,3880,484,45102.29,141037.82,26-07-2025
61,Special Discount,LinkedIn,96384,6771,770,7237.1,20247.21,31-03-2025
62,Flash Sale,Google Ads,85676,6643,614,27848.92,33461.66,09-08-2025
63,Winter Sale,YouTube,81019,6589,867,16790.21,48335.44,31-08-2025
64,Mega Sale,Instagram,27241,3242,140,14905.53,55487.99,17-02-2025
65,Summer Sale,Facebook,35784,3470,262,12007.39,23494.78,06-05-2025
66,Mega Sale,Google Ads,67277,6352,264,23315.39,106488.85,23-12-2025
67,Summer Sale,Facebook,55328,5155,563,12955.24,47843.97,06-08-2025
68,New Launch,Email,33683,1393,173,23762.94,78848.81,10-03-2025
69,Valentine Offer,YouTube,65901,6786,746,49406.73,171081.61,16-09-2025
70,Valentine Offer,Email,60933,5706,627,44963.2,181016.93,13-05-2025
71,Valentine Offer,LinkedIn,37406,4188,451,14588.26,60616.62,03-05-2025
72,Brand Awareness,Instagram,40992,4422,211,35963.7,75202.82,04-10-2025
73,Winter Sale,Facebook,15561,594,36,12331.81,47317.27,01-08-2025
74,Special Discount,Email,58424,3878,393,23830.29,34234.83,27-10-2025
75,Flash Sale,Email,96163,2243,261,24372.01,116557.15,03-08-2025
76,Winter Sale,Email,75545,7633,980,27760.48,96949.59,23-04-2025
77,Special Discount,LinkedIn,40774,2600,326,2422.22,6000.55,26-03-2025
78,Mega Sale,LinkedIn,66261,2370,344,2321.36,6261.35,14-01-2025
79,Summer Sale,Instagram,16003,1636,158,7649.27,22599.42,14-07-2025
80,Special Discount,Instagram,47906,2691,312,17015.44,69638.63,04-08-2025
81,Summer Sale,Instagram,38065,4180,166,24045.03,97293.22,25-04-2025
82,Winter Sale,Google Ads,90215,2928,420,2972.65,3917.7,11-01-2025
83,Mega Sale,Google Ads,86439,4224,248,7184.83,26899.6,27-08-2025
84,New Launch,Google Ads,96680,6131,560,9221.67,32345.38,09-06-2025
85,Special Discount,Email,19168,1568,53,46515.47,157595.69,12-04-2025
86,Flash Sale,LinkedIn,14961,1511,221,41698.01,88517.69,04-11-2025
87,New Launch,YouTube,20866,585,61,27104.52,100660.25,28-11-2025
88,Brand Awareness,LinkedIn,49725,1097,139,41294.21,66114,24-08-2025
89,Flash Sale,YouTube,97708,4460,578,9630.71,30651.06,03-10-2025
90,Brand Awareness,Google Ads,68372,5175,601,41461,143098.64,14-02-2025
91,Special Discount,Instagram,41559,4523,384,37773.34,127123.48,15-01-2025
92,Flash Sale,Instagram,69789,8366,582,9910.15,19880.31,24-05-2025
93,New Launch,Google Ads,83139,6188,754,1497.4,7191.47,28-07-2025
94,Valentine Offer,Email,69038,5928,423,34839.86,127319.87,09-01-2025
95,Mega Sale,Instagram,17196,945,56,20815.66,44224.11,31-08-2025
96,Brand Awareness,Instagram,77544,5899,528,21849.69,88153.77,26-12-2025
97,Winter Sale,Instagram,64473,3508,261,13318.78,22089.09,03-03-2025
98,Valentine Offer,Instagram,75236,7747,938,10072.34,20368.91,29-10-2025
99,Flash Sale,Google Ads,73765,6363,479,49045.02,214031.87,04-07-2025
100,Summer Sale,Facebook,28519,1808,57,35692.91,60000.33,11-10-2025
101,Summer Sale,YouTube,43290,1899,219,43554.6,133509.62,26-05-2025
102,Flash Sale,Email,66524,5251,608,17694.59,86153.03,28-02-2025
103,Summer Sale,Google Ads,13564,1091,157,4630.03,16630.58,18-03-2025
104,Retargeting,Email,78772,9350,902,5173.86,11088.23,07-11-2025
105,Flash Sale,YouTube,83135,5359,695,19638.52,91364.61,08-08-2025
106,Winter Sale,LinkedIn,45026,1393,197,48045.33,75771.69,19-04-2025
107,New Launch,Google Ads,39687,3498,145,8695.8,16178.46,02-01-2025
108,Flash Sale,LinkedIn,58545,4860,626,15271.71,31759.2,21-08-2025
109,Mega Sale,LinkedIn,14329,1693,109,46271.64,194051.53,12-04-2025
110,Festival Offer,Facebook,60723,2154,179,32734.1,152277.84,31-01-2025
111,Flash Sale,Email,26747,1793,205,37698.93,126781,05-03-2025
112,Retargeting,YouTube,66433,6969,520,35286.95,168748.18,10-09-2025
113,Brand Awareness,YouTube,62377,1905,210,2953.18,8392.08,09-05-2025
114,Mega Sale,YouTube,8390,260,21,48133.64,210663.75,11-01-2025
115,Valentine Offer,YouTube,93117,6277,778,2971.35,12104.75,30-11-2025
116,Valentine Offer,Facebook,62963,3537,198,49850.33,142390.64,29-08-2025
117,Festival Offer,Instagram,50607,4357,471,16731.85,26728.79,30-07-2025
118,Retargeting,Facebook,95921,10035,891,33466.59,91086.64,21-08-2025
119,Special Discount,YouTube,16542,974,61,16840.42,82294.11,01-01-2025
120,Brand Awareness,YouTube,91200,10713,1267,21249.13,40645.63,13-09-2025
121,Flash Sale,Email,86973,8981,374,10974.35,36073.07,24-12-2025
122,Winter Sale,LinkedIn,68532,2364,84,48684.19,171062.24,23-03-2025
123,New Launch,Email,45730,5426,176,28060.32,43611.21,02-03-2025
124,Flash Sale,Email,89896,4319,639,46700,107833.75,05-09-2025
125,Mega Sale,YouTube,66894,3333,332,28011.99,74445.42,11-03-2025
126,Retargeting,Instagram,14150,848,123,39710.3,110266.81,02-01-2025
127,Festival Offer,Email,42072,3286,398,29416.25,109068.83,03-10-2025
128,Valentine Offer,Instagram,68483,4196,295,28043.95,91564.46,07-04-2025
129,Special Discount,Facebook,96422,5840,760,19765.57,88013.1,12-06-2025
130,Festival Offer,Email,66993,7116,1043,19680.33,97535.19,19-01-2025
131,Valentine Offer,Facebook,21547,2487,243,43615.32,197225.14,27-09-2025
132,Festival Offer,Facebook,64890,1422,78,21088.95,77779.61,29-08-2025
133,Retargeting,Email,39737,2180,268,32842,145710.37,12-06-2025
134,Flash Sale,Google Ads,87155,9737,1400,2759.06,4028.22,16-02-2025
135,Valentine Offer,Google Ads,61881,2043,255,32053.64,144747.86,22-12-2025
136,Brand Awareness,Instagram,44251,1122,44,16894.36,23876.01,09-08-2025
137,Festival Offer,Google Ads,24080,1481,179,21190.54,80329.98,31-03-2025
138,Mega Sale,Google Ads,15350,1555,143,31365.81,66343.49,29-04-2025
139,Valentine Offer,Instagram,65443,6533,455,23518.95,87819.64,13-12-2025
140,Mega Sale,Instagram,76643,2826,121,22644.76,56909.66,24-11-2025
141,Special Discount,Email,60615,6867,462,23384.95,54909.32,24-02-2025
142,Flash Sale,Facebook,36091,2283,251,29165.78,145018.96,04-12-2025
143,Summer Sale,YouTube,56879,3385,105,28730.52,109349.45,12-09-2025
144,Winter Sale,YouTube,42512,2735,392,40294.67,81887.52,09-05-2025
145,Summer Sale,Instagram,93835,4116,444,5761.03,20649.49,14-08-2025
146,Flash Sale,Instagram,9373,780,69,36885.63,56896.34,01-08-2025
147,Brand Awareness,YouTube,28021,1382,74,39539.13,179134.02,14-09-2025
148,Valentine Offer,Instagram,40720,4215,210,13591.53,58903.26,23-06-2025
149,Special Discount,YouTube,20095,1360,59,7897.09,38480.16,07-07-2025
150,Valentine Offer,Instagram,16836,1955,159,1682.01,5447.99,11-12-2025
151,Brand Awareness,Facebook,93125,6157,782,19670.25,71333.91,12-12-2025
152,Brand Awareness,YouTube,35647,2643,91,31357.8,150017.05,24-04-2025
153,Flash Sale,LinkedIn,89889,2832,409,41368.91,192600.12,29-07-2025
154,Valentine Offer,Facebook,20292,691,25,47366.82,111623.96,19-02-2025
155,Retargeting,Email,35775,2916,156,20043.65,52310.79,28-10-2025
156,Flash Sale,Facebook,25253,2204,116,41850.96,148130.57,20-12-2025
157,Brand Awareness,Facebook,53566,2850,312,22790.1,47796.04,18-12-2025
158,Winter Sale,Facebook,53147,5522,825,18575.02,50392.74,21-08-2025
159,Summer Sale,Facebook,17015,1697,104,32443.52,112551.59,20-06-2025
160,Retargeting,Google Ads,36925,1253,181,11055.07,48126.12,28-10-2025
161,Mega Sale,Facebook,33305,3996,564,12416.94,51438.42,22-05-2025
162,Summer Sale,Google Ads,23964,1011,99,13282.06,24745.66,08-01-2025
163,Summer Sale,Google Ads,51955,2988,390,16864.8,31404.54,04-08-2025
164,Retargeting,YouTube,73955,2410,104,24336.05,101151.93,25-02-2025
165,Retargeting,Instagram,64245,5411,388,47325.37,64589.06,23-08-2025
166,Special Discount,LinkedIn,89323,2296,99,49930.75,220680.66,25-02-2025
167,Mega Sale,Google Ads,69260,7220,670,4601.05,6933.8,03-02-2025
168,Brand Awareness,Email,21540,1556,205,32020.76,105148.31,02-11-2025
169,New Launch,LinkedIn,74541,3905,349,25772,73057.37,30-11-2025
170,Winter Sale,Email,77264,7450,1109,11536.13,33638.3,23-06-2025
171,Brand Awareness,LinkedIn,64441,4554,561,36751.01,87749.79,11-05-2025
172,New Launch,Email,54060,2331,311,4289.53,18705.5,19-02-2025
173,Brand Awareness,LinkedIn,53843,2141,94,29736.79,99143.3,04-03-2025
174,Summer Sale,Instagram,58845,4072,569,33601.69,136123.14,04-11-2025
175,Valentine Offer,Google Ads,45953,3799,166,29318.01,58882.51,25-02-2025
176,Winter Sale,Email,50890,5573,543,6629.38,14972.85,15-10-2025
177,Flash Sale,Instagram,86490,2159,200,2418.71,5414.11,29-06-2025
178,Festival Offer,LinkedIn,5800,301,18,28749.73,78284.95,21-11-2025
179,Festival Offer,Instagram,9018,273,21,19433.53,56820.8,09-06-2025
180,Summer Sale,Google Ads,99581,7305,1014,47128.96,163332.5,22-03-2025
181,Valentine Offer,YouTube,85981,2534,117,14333.04,53252.5,15-08-2025
182,Special Discount,Facebook,59287,3422,212,37992.21,62022.53,26-05-2025
183,Special Discount,YouTube,93895,9849,1374,33689.5,46241.74,29-01-2025
184,Flash Sale,Instagram,6007,329,28,47320.88,194769.34,17-06-2025
185,Special Discount,YouTube,20726,445,44,37603.69,70230.16,27-12-2025
186,New Launch,Email,35161,2752,368,41834.36,178363.33,22-01-2025
187,Mega Sale,Email,62176,1396,158,46136.96,206509.87,21-10-2025
188,Brand Awareness,Google Ads,58008,6404,619,15186.25,41597,13-11-2025
189,Winter Sale,Email,65305,6955,578,5318.36,23448.86,29-10-2025
190,Brand Awareness,Google Ads,57487,5441,243,20392.57,48514.81,20-06-2025
191,Winter Sale,Instagram,27037,852,90,32028.01,103011.63,29-06-2025
192,Festival Offer,YouTube,89599,4210,246,6037.42,13117.38,20-03-2025
193,Valentine Offer,YouTube,90918,3052,181,47613.31,170751.11,24-10-2025
194,Brand Awareness,LinkedIn,63838,6855,783,32506.6,160869.36,11-06-2025
195,Flash Sale,YouTube,24786,2296,102,23977.13,86300.01,29-01-2025
196,Summer Sale,Instagram,51129,5178,230,16209.98,47288.93,27-05-2025
197,Valentine Offer,YouTube,15057,1621,71,31135.41,97356,11-10-2025
198,Festival Offer,Facebook,10376,1128,81,16754.81,50388.25,19-08-2025
199,New Launch,YouTube,18566,2031,290,42031.48,207344.03,27-11-2025
200,Retargeting,YouTube,27617,712,52,35673.46,177145.37,09-11-2025
201,Brand Awareness,LinkedIn,25807,2006,155,45978.9,122864.03,03-11-2025
202,Special Discount,Instagram,11863,922,35,17154.85,56958.57,10-05-2025
203,Festival Offer,Instagram,99861,11871,663,17334.74,59187.91,08-06-2025
204,Flash Sale,YouTube,90990,8240,379,30157.02,143680.36,12-07-2025
205,Retargeting,Facebook,89343,7167,1047,7261.89,28109.01,27-11-2025
206,Festival Offer,Google Ads,92878,8794,1304,18729.58,48282.44,24-06-2025
207,Flash Sale,Facebook,68736,2946,203,49998.85,89437.53,17-09-2025
208,Brand Awareness,YouTube,75748,8355,1006,44300.43,59514.99,09-03-2025
209,Mega Sale,Google Ads,83282,7837,392,8950.11,39014.52,13-08-2025
210,Valentine Offer,YouTube,10726,1055,124,34141.78,71787.01,26-05-2025
211,Valentine Offer,Google Ads,63841,3192,368,12719.26,61933.48,08-07-2025
212,Special Discount,YouTube,93907,11223,1238,23622.32,53639.97,28-09-2025
213,Flash Sale,Facebook,59874,2524,177,40261.7,69488.25,25-11-2025
214,New Launch,Instagram,67991,4399,236,35858.65,113329.67,12-02-2025
215,Special Discount,Facebook,26012,1637,164,45360,79830.19,24-04-2025
216,Retargeting,Instagram,64130,4145,600,2306.84,3235.06,01-05-2025
217,New Launch,LinkedIn,55615,1780,148,12002.4,28937.82,29-11-2025
218,Valentine Offer,LinkedIn,48947,2174,135,2876.86,13481.27,13-03-2025
219,Summer Sale,Instagram,97476,9634,1207,31152.06,144615.91,21-04-2025
220,Flash Sale,Google Ads,24597,2738,393,26860.8,43581.92,04-06-2025
221,Valentine Offer,Facebook,20970,614,48,21571.45,90962.85,26-02-2025
222,Winter Sale,LinkedIn,70513,6298,736,1805.33,5702,15-03-2025
223,Special Discount,Google Ads,43177,4379,132,31125.67,65804.15,07-12-2025
224,Retargeting,YouTube,92584,3253,365,48758.07,71049.35,17-09-2025
225,Special Discount,Instagram,71535,5969,199,20132.23,60125.17,10-05-2025
226,New Launch,YouTube,7128,507,65,4310.42,9122.05,20-06-2025
227,Festival Offer,LinkedIn,22486,630,63,27754.67,119104.55,26-08-2025
228,Valentine Offer,Facebook,96146,9762,665,40763.39,58690.4,31-05-2025
229,Flash Sale,YouTube,31422,807,49,44403.73,106536.28,23-07-2025
230,Flash Sale,Instagram,76176,5401,421,2794.42,10222.61,25-01-2025
231,Special Discount,LinkedIn,90948,7256,496,7099.28,18447.29,14-08-2025
232,Retargeting,Instagram,55678,3890,211,25313.96,78235.04,12-02-2025
233,Retargeting,Instagram,60640,1858,165,30520.21,131996.76,14-06-2025
234,Mega Sale,LinkedIn,18447,531,56,33385.04,78945.08,07-08-2025
235,Brand Awareness,YouTube,26842,2354,249,22909.35,90764.43,11-08-2025
236,Retargeting,LinkedIn,40986,1288,57,33888.01,92975.11,14-12-2025
237,Valentine Offer,Facebook,25969,646,37,42584.8,160831.62,06-03-2025
238,Mega Sale,Facebook,13812,759,104,18950.1,50309.61,06-11-2025
239,Mega Sale,Google Ads,25111,2344,259,19228.66,78832.14,29-09-2025
240,New Launch,Facebook,53096,4321,450,32828.48,70532.79,06-04-2025
241,Flash Sale,LinkedIn,70410,5649,565,45763.58,75395.12,17-08-2025
242,Winter Sale,Facebook,33124,3168,241,35005.05,174842.86,11-03-2025
243,New Launch,LinkedIn,14706,1219,80,45035.27,130215.99,13-06-2025
244,Flash Sale,Google Ads,92535,7542,952,4182.01,13634.4,31-12-2025
245,Winter Sale,Google Ads,98003,4812,514,25929.03,43072.72,02-05-2025
246,Retargeting,Google Ads,69752,1610,140,28147.05,73234.75,10-11-2025
247,Valentine Offer,YouTube,16300,460,32,20509.84,80487.74,30-07-2025
248,New Launch,Email,58665,5882,251,7141.01,17172.02,27-08-2025
249,Retargeting,LinkedIn,94143,10358,1015,7288.4,31707.49,28-10-2025
250,New Launch,YouTube,28850,1105,143,25640.33,115361.08,20-03-2025
251,Brand Awareness,YouTube,44862,2245,149,16810.38,65484.2,26-05-2025
252,Festival Offer,LinkedIn,15336,819,49,32117.8,105770.25,05-06-2025
253,Mega Sale,Google Ads,85534,3240,354,32408.38,111772.36,29-03-2025
254,Summer Sale,Facebook,91341,7357,1082,46272.56,62770.5,24-01-2025
255,Mega Sale,LinkedIn,89076,6117,849,11329.61,38227.48,16-01-2025
256,Valentine Offer,Google Ads,70278,6542,754,15193.91,73466.67,17-12-2025
257,Valentine Offer,Email,58227,3600,340,4575.68,6532.56,05-09-2025
258,Brand Awareness,LinkedIn,65875,2988,263,30726.35,73368.79,26-06-2025
259,Winter Sale,Email,57260,2216,255,26234.03,42066.24,04-03-2025
260,Special Discount,YouTube,40058,2642,205,7903,11003.35,03-08-2025
261,Brand Awareness,Google Ads,37541,4294,291,40860.41,194015.68,23-03-2025
262,Summer Sale,Facebook,70308,5622,646,25439.23,60353.4,21-07-2025
263,Summer Sale,Instagram,71249,5169,401,11542.08,29328.44,11-09-2025
264,Special Discount,Google Ads,83317,9376,866,27297.85,120636.16,16-05-2025
265,Retargeting,Google Ads,52943,4361,504,3216.88,4485.61,05-07-2025
266,Retargeting,Instagram,77512,3914,154,19931.09,58026.31,16-11-2025
267,Brand Awareness,YouTube,94181,3829,179,48779.06,131549.03,07-07-2025
268,Summer Sale,Facebook,23909,1293,192,25947,80443.38,12-03-2025
269,Mega Sale,YouTube,98531,7426,1045,24213.46,71104.19,13-03-2025
270,Flash Sale,YouTube,47987,3568,190,20254.77,71756.61,22-06-2025
271,Flash Sale,Email,71494,8214,767,27084.65,105446.26,09-01-2025
272,Flash Sale,LinkedIn,53281,3778,457,6370.62,17728.5,19-12-2025
273,Mega Sale,YouTube,87478,2185,307,14010.99,51718.01,27-04-2025
274,Mega Sale,Email,99555,2832,382,24541.99,78340.07,17-03-2025
275,Winter Sale,Facebook,94224,5852,207,29055.94,112213.44,14-08-2025
276,Retargeting,YouTube,46116,4352,285,21235.05,41934.73,30-08-2025
277,Valentine Offer,YouTube,13163,545,42,28483.45,142214.07,12-07-2025
278,Brand Awareness,LinkedIn,46124,2340,305,45694.08,114273.7,15-12-2025
279,Flash Sale,YouTube,89319,6117,807,24724.82,119615.76,02-06-2025
280,Valentine Offer,Instagram,34473,1908,254,15161.2,30135.24,03-09-2025
281,Retargeting,Email,50718,5605,448,15101.68,51031.78,22-07-2025
282,New Launch,Instagram,50237,2203,214,3061.26,14786.47,15-08-2025
283,Flash Sale,YouTube,90979,6020,670,11485.35,49917.82,23-12-2025
284,Winter Sale,Facebook,40601,1374,68,31168.17,106905.45,09-12-2025
285,Brand Awareness,LinkedIn,74604,3340,426,12408.99,19615.54,30-08-2025
286,Festival Offer,Email,18178,1758,249,7735.88,37636.38,01-12-2025
287,Flash Sale,LinkedIn,67350,5258,361,38039.64,87169.02,31-01-2025
288,Summer Sale,Google Ads,16725,1669,196,12378.79,49601.92,02-08-2025
289,Flash Sale,Facebook,28040,708,71,39610.07,75575.39,05-01-2025
290,Retargeting,YouTube,44110,1761,137,14943.52,74098.61,10-09-2025
291,Brand Awareness,Google Ads,22589,2516,314,14369.02,61405.9,23-08-2025
292,Flash Sale,YouTube,89972,6014,370,1690.13,4193.26,12-12-2025
293,Special Discount,YouTube,30318,1324,195,42951.18,197951.79,17-06-2025
294,Brand Awareness,Google Ads,16368,1147,58,10054.28,17437.39,04-01-2025
295,Brand Awareness,Instagram,39181,2354,190,22890.04,50691.79,26-10-2025
296,Winter Sale,Facebook,99749,11380,364,13816.1,35456.23,08-12-2025
297,Flash Sale,LinkedIn,20495,2315,226,8826.12,33601.74,02-03-2025
298,Festival Offer,Email,88717,6607,574,31116.65,63250.46,20-03-2025
299,Valentine Offer,YouTube,64634,7417,842,19307.62,74669.8,07-12-2025
300,New Launch,YouTube,33627,3792,239,34336.75,118945.76,17-08-2025
301,Summer Sale,YouTube,74228,7249,587,4827.03,16140.82,16-09-2025
302,Retargeting,Email,31497,2974,363,8342.77,20413.48,01-03-2025
303,Valentine Offer,Facebook,94167,5248,754,24952.57,115175.56,21-08-2025
304,Valentine Offer,LinkedIn,22294,2547,288,23383.13,33190.01,07-06-2025
305,Winter Sale,YouTube,99801,2352,272,13468.4,16316.41,07-02-2025
306,Summer Sale,Facebook,10936,1085,120,35318.86,115013.09,30-08-2025
307,Special Discount,Instagram,9159,476,40,9819.09,16836.1,15-07-2025
308,Retargeting,Google Ads,63790,4367,515,4932.25,23989.22,01-12-2025
309,Festival Offer,LinkedIn,50582,1982,104,49649.49,133737,25-04-2025
310,Special Discount,YouTube,5455,132,12,23687.19,93151.23,14-07-2025
311,New Launch,Facebook,35102,1715,168,17961.83,40368.66,05-12-2025
312,Mega Sale,Facebook,59950,6236,203,12792.65,18622.33,17-08-2025
313,Winter Sale,YouTube,83352,2464,198,37286.51,101740.28,22-04-2025
314,Mega Sale,Instagram,12398,533,79,49680.69,103823.39,23-10-2025
315,Retargeting,Google Ads,83370,6920,449,15786.46,27537.74,31-07-2025
316,Festival Offer,LinkedIn,44387,3141,125,28279.19,97516.12,14-12-2025
317,Special Discount,YouTube,60994,5772,680,3297.32,8272.24,13-06-2025
318,Retargeting,Email,96266,8746,1098,8311.66,21864.23,04-05-2025
319,Summer Sale,YouTube,34536,1921,276,35671.26,152029.11,31-07-2025
320,Winter Sale,Instagram,59592,5756,714,7570.54,16071.21,28-11-2025
321,Winter Sale,Facebook,15363,1228,130,5530.74,21865.35,18-05-2025
322,Mega Sale,LinkedIn,54436,6043,798,2937.83,4337.94,10-12-2025
323,Flash Sale,Facebook,78249,3341,345,11235.57,52208.6,19-04-2025
324,Winter Sale,Email,29906,1078,154,45807.62,176056.09,03-05-2025
325,Brand Awareness,Instagram,77362,4181,522,14869.9,44189.65,14-05-2025
326,Valentine Offer,Instagram,52139,5242,666,23834.2,101312.11,15-04-2025
327,Festival Offer,Facebook,53589,3634,320,3240.06,14526.88,14-05-2025
328,Winter Sale,Email,77523,9207,1131,15464.42,30086.47,19-10-2025
329,Flash Sale,Email,37208,2789,364,33075.79,125767.95,25-11-2025
330,Festival Offer,LinkedIn,69303,5161,326,36905.84,93676.97,07-10-2025
331,Retargeting,Facebook,69004,2887,363,49525.85,239581.31,08-02-2025
332,Winter Sale,Facebook,92584,2645,82,21207.22,93347.18,29-12-2025
333,Mega Sale,LinkedIn,24795,532,42,25780.91,67498.62,08-12-2025
334,Special Discount,Facebook,85808,9632,1287,1770.86,5706.43,09-01-2025
335,Retargeting,LinkedIn,74391,7403,503,27251.17,62389.28,12-12-2025
336,Winter Sale,Google Ads,61436,2696,134,45984.39,146812.73,14-11-2025
337,New Launch,Instagram,74003,3547,523,18367.61,77525.24,27-07-2025
338,New Launch,LinkedIn,65161,5931,426,49521.42,101927.84,29-11-2025
339,Summer Sale,LinkedIn,9152,278,33,19583.94,64632.2,05-01-2025
340,Brand Awareness,YouTube,97123,4749,226,25493.06,72626.07,18-02-2025
341,Mega Sale,Email,74226,1832,112,11359.44,51104.35,19-05-2025
342,Mega Sale,LinkedIn,11102,374,54,46353.66,214032.66,17-01-2025
343,Special Discount,Facebook,28508,1858,59,48111.99,165059.59,03-06-2025
344,Retargeting,Instagram,26292,2834,208,28768.1,127381.73,16-07-2025
345,New Launch,Email,23343,787,87,37527.37,94353.79,29-04-2025
346,Special Discount,Instagram,14963,996,106,38681.28,186771.09,16-01-2025
347,Special Discount,Email,88115,6240,648,25039.57,63903.05,06-04-2025
348,Winter Sale,LinkedIn,94088,8108,330,38836.2,90194.82,07-02-2025
349,Festival Offer,LinkedIn,15752,863,44,19620,81987.72,19-07-2025
350,Valentine Offer,Instagram,46507,3884,170,5484.5,26233.73,19-05-2025
351,Retargeting,YouTube,18399,638,30,10182.2,29585.46,28-07-2025
352,Mega Sale,Instagram,18538,423,17,18341.8,28496.63,17-07-2025
353,Retargeting,Google Ads,6617,430,38,20002.18,30440.48,20-10-2025
354,Flash Sale,Email,73302,2855,279,9305.59,20676.02,16-03-2025
355,New Launch,Instagram,13292,607,73,14522.13,33968.11,09-05-2025
356,Valentine Offer,Facebook,37321,3698,430,25294.32,89626.41,11-03-2025
357,Brand Awareness,Email,44932,953,78,17278.64,61455.46,21-06-2025
358,Winter Sale,Email,61441,6561,804,7670.1,18550.35,10-06-2025
